Project,Points
ATLAS@Home,"10,967.09"
Citizen Science Grid,"4,247,991.81"
Collatz Conjecture,"141,540,432.52"
Cosmology@Home,"695,761.50"
Distr. Hardware Evolution,"6,818,573.00"
DrugDiscovery@Home,"58,421.66"
Duchamp Sourcefinder,"6,683.32"
GoofyxGrid@Home NCI Retired,"189,244.00"
MLC@Home,"204,100.00"
POEM@HOME,"2,127,480.96"
POGS (theSkyNet),"876,433.01"
QuChemPedIA@home,"426,568.00"
SETI@Home,"979,439.65"
T.Brada Experimental Grid,"13,961.15"
Universe@Home,"107,743,500.00"
VGTU project@Home,"32,344.66"
Amicable Numbers,"27,153,360.99"
Asteroids@home,"9,523,745.23"
CPDN (climateprediction.net),"2,410,969.23"
DENIS@Home,"728,324.94"
Einstein@Home,"131,512,511.25"
Gaia@home,"2,711,289.00"
Gerasim@Home,"4,883,677.33"
GPUGRID,"286,670,711.22"
iThena.Measurements,"17,810.00"
LHC@Home,"2,283,684.93"
LODA,"321,288.52"
MilkyWay@home,"37,530,061.13"
Minecraft@Home,"32,500.00"
Moo! Wrapper,"37,560.00"
NFS@Home,"742,054.00"
NumberFields@home,"557,251.25"
ODLK,"272,674.58"
ODLK1,"397,160.27"
PrimeGrid,"57,603,619.60"
RakeSearch,"919,516.21"
Rosetta@Home,"3,274,032.86"
SiDock@home,"631,097.06"
SPACIOUS@home,"87,057,400.00"
SRBase,"11,918,370.00"
The Ramanujan Machine,"242,228.78"
TN-Grid,"2,792,834.50"
World Community Grid,"48,442,671.20"
WUProp@Home,"84,317.75"
YAFU,"1,485,368.18"
yoyo@home,"2,655,021.91"